,city,lat,lng,max temp,humidity,cloudiness,wind_speed,country,date
286,Ixtapa,20.7,-105.2,86.0,74,40,2.24,MX,1597545888
287,Quthing,-30.4,27.7,41.97,66,76,6.64,LS,1597546113
288,Ilulissat,69.22,-51.1,39.2,64,0,5.82,GL,1597546113
289,Khandyga,62.67,135.6,62.73,30,0,7.58,RU,1597546113
290,Kropotkin,45.44,40.58,55.08,60,0,7.65,RU,1597546114
291,Uusikaupunki,60.8,21.41,63.0,75,94,5.84,FI,1597546114
292,Kaitangata,-46.28,169.85,46.0,82,65,7.0,NZ,1597546114
293,Port-Gentil,-0.72,8.78,74.93,87,98,13.35,GA,1597546114
294,Danielskuil,-28.19,23.54,34.03,95,22,8.86,ZA,1597546114
295,Kysyl-Syr,63.9,122.76,54.43,45,9,10.09,RU,1597546115
296,Isangel,-19.55,169.27,73.4,64,100,6.93,VU,1597546115
297,Brookings,44.31,-96.8,71.6,68,1,5.82,US,1597545915
298,Belaya Gora,68.53,146.42,44.82,59,94,9.86,RU,1597546115
299,Sayyan,15.17,44.32,62.85,68,35,3.56,YE,1597546115
300,Mayskiy,47.69,40.1,46.4,70,0,6.71,RU,1597546115
301,Tuatapere,-46.13,167.68,51.01,71,44,4.0,NZ,1597546116
302,Rawlins,41.79,-107.24,77.0,9,1,6.93,US,1597546116
303,Neosho,36.87,-94.37,75.99,92,10,10.29,US,1597546116
304,Tautira,-17.73,-149.15,82.4,65,20,4.7,PF,1597546116
305,Khovd,48.01,91.64,53.51,72,100,8.03,MN,1597546098
306,Catió,11.28,-15.25,76.39,92,100,2.93,GW,1597546117
307,Whitehorse,60.72,-135.05,52.0,93,90,0.85,CA,1597546117
308,Gladstone,-23.85,151.25,73.4,31,0,2.24,AU,1597546116
309,Walvis Bay,-22.96,14.51,48.99,87,0,4.7,NA,1597546117
310,Pestravka,52.41,49.96,56.35,88,100,12.97,RU,1597546117
311,Codrington,-38.27,141.97,57.36,74,0,12.15,AU,1597546118
312,Vilhena,-12.74,-60.15,74.84,38,66,4.23,BR,1597546118
313,Nishihara,26.18,127.76,89.6,66,40,9.17,JP,1597546118
314,Oistins,13.07,-59.53,82.4,78,20,11.41,BB,1597546118
315,Bathsheba,13.22,-59.52,82.4,78,20,11.41,BB,1597546118
316,Bezhanitsy,56.98,29.89,56.3,96,33,6.51,RU,1597546118
317,Sabang,5.89,95.32,83.46,72,14,6.64,ID,1597546119
